,artist,song_name,spotify_track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,release_year,tracks_popularity
116,Sia,Unstoppable,1yvMUkIOTeUNtNWlWRgANS,0.468,0.779,9,-4.839,1,0.0779,0.112,0.000373,0.101,0.26,173.799,217747,4,2016,84
117,Billie Eilish,Bored,04sN26COy28wTXYj3dMoiZ,0.614,0.318,7,-12.695,1,0.0478,0.896,0.00239,0.0795,0.112,119.959,180933,4,2017,85
118,A Boogie Wit da Hoodie,Jungle,5uZm7EFtP5aoTJvx5gv9Xf,0.538,0.52,7,-11.063,0,0.737,0.308,0.0,0.214,0.551,180.274,174192,4,2016,77
119,Young Nudy,EA (feat. 21 Savage),68MTDH8Kk4jBEV1ah0n89s,0.451,0.876,10,-5.205,0,0.414,0.261,0.0,0.098,0.227,87.306,227176,5,2017,79
120,Tom Odell,Another Love,7otCGmgp9h4CsR2LhwB6gt,0.445,0.537,4,-8.532,0,0.04,0.695,1.6e-05,0.0941,0.131,122.764,244360,4,2013,74
121,Lil Uzi Vert,Money Longer,0B8QzDH7YWih85V5SEMnyJ,0.795,0.568,5,-7.817,0,0.142,0.0541,0.0,0.108,0.478,136.173,198944,4,2016,77
122,Bing Crosby,It's Beginning To Look A Lot Like Christmas,1uh1iaMqBdx4XyrXhssKGD,0.464,0.259,3,-9.194,1,0.0379,0.869,0.000326,0.116,0.531,97.586,164613,4,2015,79
123,MGMT,Little Dark Age,2Y0iGXY6m6immVb2ktbseM,0.705,0.712,6,-6.156,1,0.0385,0.0102,0.000855,0.1,0.62,97.512,299960,4,2018,83
124,Lil Baby,Life Goes On,2bSk87AVkCIIC3Bcligq1z,0.716,0.541,1,-7.909,1,0.149,0.0021,0.0,0.115,0.387,139.978,247055,4,2018,77
125,$uicideboy$,Runnin' Thru the 7th with My Woadies,1tm7c4V0kqLiN0XPVnoUcT,0.686,0.621,11,-7.243,1,0.187,0.0656,0.000221,0.139,0.187,112.082,205766,4,2015,77
126,Lil Peep,white tee,4TVsTKQVeC99tCjfRKLeob,0.8,0.526,11,-8.909,1,0.0416,0.285,0.0,0.0717,0.729,149.991,132227,4,2016,79
127,GoldLink,Crew (feat. Brent Faiyaz & Shy Glizzy),15EPc80XuFrb2LmOzGjuRg,0.728,0.607,1,-8.417,0,0.132,0.133,0.0,0.0864,0.445,129.938,176702,4,2017,77
128,Jhené Aiko,Sativa,2pg2TiYo9Rb8KeB5JjP7jS,0.741,0.61,6,-7.34,0,0.0511,0.316,0.0,0.534,0.72,125.99,276960,4,2017,77
129,Lana Del Rey,Young And Beautiful,2nMeu6UenVvwUktBCpLMK9,0.324,0.416,11,-8.92,0,0.0368,0.262,3.69e-05,0.11,0.151,113.986,236053,4,2013,84
130,Lorde,Ribs,2MvvoeRt8NcOXWESkxWn3g,0.511,0.472,4,-9.277,1,0.091,0.534,0.614,0.11,0.0399,127.978,258969,4,2013,80
131,The Weeknd,Can't Feel My Face,22VdIZQfgXJea34mQxlt81,0.705,0.769,9,-5.526,0,0.0425,0.113,0.0,0.105,0.583,107.949,213520,4,2015,83
132,Summer Walker,Girls Need Love (with Drake) - Remix,14SaZBTjxlorHJQxXh01Hu,0.656,0.432,6,-9.481,0,0.217,0.443,0.0,0.132,0.0897,97.022,222374,4,2018,80
133,Panic! At The Disco,House of Memories,2DgdHcjWmO3qd50RzuBLgZ,0.506,0.817,11,-5.051,0,0.0335,0.00272,0.0,0.0486,0.506,109.952,208707,4,2016,84
134,Chase Atlantic,Swim,3M0lSi5WW79CXQamgSBIjx,0.666,0.542,8,-6.429,1,0.0392,0.27,0.0,0.0765,0.0771,120.134,228787,4,2017,84
135,Ski Mask The Slump God,Nuketown (feat. Juice WRLD),74lnM5V6ecvoTPV0fvptx9,0.808,0.617,10,-9.32,0,0.442,0.113,0.0,0.734,0.632,149.962,166400,4,2018,77
136,J. Cole,Love Yourz,2e3Ea0o24lReQFR4FA7yXH,0.677,0.638,8,-8.631,1,0.333,0.589,0.0,0.193,0.435,82.81,211497,4,2014,77
137,Rainbow Kitten Surprise,It's Called: Freefall,474uVhyGgK5MtY9gMcDgGl,0.744,0.516,2,-6.365,1,0.0513,0.632,0.0,0.605,0.281,97.944,152293,4,2018,78
138,Joji,YEAH RIGHT,1VGzxJnVQND7Cg5H5wGj14,0.672,0.588,1,-9.573,1,0.133,0.619,0.241,0.0992,0.204,169.033,174358,4,2018,81
