,artist,song_name,spotify_track_id
241,Niall Horan,This Town,0qvzXomUDJVaUboy2wMfiS
242,Chris Stapleton,Broken Halos,06gD2ZtK3Dzc1BYqWExQJJ
243,J. Cole,Neighbors,0utlOiJy2weVl9WTkcEWHy
244,21 Savage,No Heart,4gmmRb6bZJffOOiww1JGTO
245,Tom Rosenthal,Lights Are On,4IhTXiZLKATmwhMZIb1GQN
246,Dominic Fike,Babydoll,7yNf9YjeO5JXUE3JEBgnYc
247,Lil Peep,beamer boy,16dlDlLW9Uv8lmIUvAXAjG
248,Rae Sremmurd,Come Get Her,1Ser4X0TKttOvo8bgdytTP
249,Tay-K,I <3 My Choppa,0Dk9lP1YnOqssHH0oCeq9u
250,Sufjan Stevens,Fourth of July,5Qnrgqy1pAm9GyNQOgyVFz
251,Maroon 5,Sugar,2iuZJX9X9P0GKaE93xcPjk
252,Post Malone,Feeling Whitney,35r28RDot7nPE7y9K9H7l0
253,SZA,Supermodel,5wTVNpi5WDByxBgKgUE6MU
254,Drake,Do Not Disturb,2KvHC9z14GSl4YpkNMX384
255,MC L da Vinte,Parado no Bailão,3Hb9kUdm4yf839Fle4RIdT
256,Jon Pardi,Dirt On My Boots,7f08qp3HROTkfrtNpiYGGo
257,Post Malone,Candy Paint,32lItqlMi4LBhb4k0BaSaC
258,Mac DeMarco,Watching Him Fade Away,2QzKAF0y1BQhxwg8N05Uog
259,Idina Menzel,"Let It Go - From ""Frozen""/Soundtrack Version",0qcr5FMsEO85NAQjrlDRKo
260,SZA,Drew Barrymore,06u5LrUpbosQlQ1QJFhPpG
261,Khalid,8TEEN,5bgwqaRSS3M8WHWruHgSL5
262,Tay-K,M.... She Wrote,1WRzux3cJRM9xRNN99QKgR
263,Kodak Black,Roll in Peace (feat. XXXTENTACION),40oKW22ZNNkEdZLJTScaQI
264,Mitski,Nobody,2P5yIMu2DNeMXTyOANKS6k
265,Tee Grizzley,From The D To The A (feat. Lil Yachty),2NyrXRn4tancYPW6JwtTl2
266,Playboi Carti,wokeuplikethis*,59J5nzL1KniFHnU120dQzt
267,Hozier,Like Real People Do,57V4uc2b2diZ4RPHXWecb9
268,The Weeknd,Acquainted,7uJH0YdSZL6psjxI6Xy08b
269,Mitski,Me and My Husband,3pANfZVFdtuVnJsE6xa5Ox
270,Tyler Childers,Whitehouse Road,0fbR95FEaJUxiQYaqZZukv
271,Ariana Grande,Last Christmas,5xDrO9DEDJGUQGfyoHvgDJ
272,Lil Uzi Vert,Neon Guts (feat. Pharrell Williams),1MJErNPIQUoEMu4YUUmecm
273,Post Malone,Psycho (feat. Ty Dolla $ign),3swc6WTsr7rl9DqQKQA55C
274,Xavier Wulf,Psycho Pass,3kZAm2TC74lBJFPDoV40Qc
275,Her's,What Once Was,1XrSjpNe49IiygZfzb74pk
276,Tyler Childers,Follow You To Virgie (OurVinyl Sessions),4Oz6xl8qhJTdjYZeT98V4m
277,WILLIS,I Think I Like When It Rains,5S5u0EWtlblH00iTNExZ6X
278,Key Glock,Russian Cream,03ThZweiBWFP8tOGsk6QMO
279,BONES,HDMI,7I4ibsZgwuf46g0xHuTC8s
280,Kanye West,All Mine,3U21A07gAloCc4P7J8rxcn
281,Frank Ocean,Self Control,5GUYJTQap5F3RDQiCOJhrS
282,Drake,Jungle,7JXZq0JgG2zTrSOAgY8VMC
283,NF,Lie,07FkzikE6FuHIa8Ma7zJGc
284,Pastel Ghost,Dark Beach,5QmdK8QFbY8TLVKPuJzexD
285,Chord Overstreet,Hold On,5vjLSffimiIP26QG5WcN2K
286,Kodaline,All I Want,0NlGoUyOJSuSHmngoibVAs
287,$uicideboy$,Carrollton,2XSrt1dcuOXPgl3B4bxmBz
288,Crafting Audio,Cabin Noise Focus,3kxUcpFquT4ZdvJC1Nyu5q
289,Chase Atlantic,Consume (feat. Goon Des Garcons),0X2bh8NVQ8svDQIn2AdCbW
290,Mild High Club,Homage,7DcJ6fEBb7BaKuYKTwiDxK
291,Mac DeMarco,Moonlight on the River,2fhOljbX79loRcdl47SFye
292,The Neighbourhood,Reflections,2xql0pid3EUwW38AsywxhV
293,Kina,Get You The Moon (feat. Snøw),4ZLzoOkj0MPWrTLvooIuaa
294,Future,Fine China,5274I4mUMnYczyeXkGDWZN
295,Melanie Martinez,Pacify Her,360Wr96ywrCQq4kTAJ8Pq6
296,Current Joys,Blondie,7sIx70dGj3VBiHWr0KZXfD
297,J. Cole,G.O.M.D,0Thqjtu54vKMP06pwZkAWp
298,The 1975,Somebody Else,5hc71nKsUgtwQ3z52KEKQk
299,Meghan Trainor,NO,0l0CvurVUrr2w3Jj1hOVFc
300,Chase Atlantic,Into It,4HwDCXsMBC7SUdp2WT4MZP
301,Avenged Sevenfold,Hail to the King,5anCkDvJ17aznvK5TED5uo
302,Mac Miller,Come Back to Earth,01z2fBGB8Hl3Jd3zXe4IXR
303,The Lumineers,Sleep On The Floor,5MMZJtHOiH1RmQSSe3DJdg
304,Sia,Santa's Coming for Us,1N1ZpYUJc9fwrqk53FGgWv
305,Aminé,REEL IT IN,5qHirGR7M9tdm6C17DlzSY
306,Clairo,Flaming Hot Cheetos,1F6IbA7di42uPc3cff8PXV
307,Bad Bunny,Si Estuviésemos Juntos,35wvL50xvKpCHEJPxLOLPI
308,$uicideboy$,2nd Hand,3YeQsJs1FdLI3w0BqWwpmk
309,James Arthur,Train Wreck,55Am8neGJkdj2ADaM3aw5H
310,Billie Eilish,watch,7eB1V5LvAdxCc7brfGhRRo
311,Wiz Khalifa,See You Again (feat. Charlie Puth),2JzZzZUQj3Qff7wapcbKjc
312,NF,If You Want Love,3i5qVV8azKqGFK4Gzdt5YS
313,Calum Scott,Dancing On My Own,2BOqDYLOJBiMOXShCV1neZ
314,Cody Fry,I Hear a Symphony,4ZHGRFGwjnEIXHG2FhcDPv
315,SZA,Garden (Say It Like Dat),19woxaSpjOefa2JnAOoqW5
316,Justin Bieber,Sorry,09CtPGIpYB4BrO8qb1RGsF
317,Auli'i Cravalho,How Far I'll Go,6mb6lVLNrcUgLnEN8QnDJd
318,Lil Yachty,Yacht Club (feat. Juice WRLD),5R2rsbwCDXORX2tLfprRmM
319,YNW Melly,772 Love,230wNo1dnexltKYQbsW7oD
320,Doja Cat,Wine Pon You (feat. Konshens),2s4AcE9n80mSHl87lp4gIm
321,Lonely God,Marlboro Nights,755inykyaG4w22GWAsA3MX
322,"Tyler, The Creator",911 / Mr. Lonely (feat. Frank Ocean & Steve Lacy),4bEcoz1OcfMgUbp2ft8ieQ
323,Granular,White Noise - 145 hz,6H4B9gJD6eQlNoEh8q85pP
324,6LACK,Pretty Little Fears (feat. J. Cole),4at3d5QWnlibMVN75ECDrp
325,Cuco,Lover Is a Day,1ucnuV88gFTfR3BalmznDk
326,Post Malone,Stay,4H7WNRErSbONkM06blBoGc
327,Ski Mask The Slump God,Take A Step Back,2gQYziDV5cSTRSqr6akzi5
328,XXXTENTACION,RIP Roach,658I1uDnmLSiltFCf98AWE
329,Lana Del Rey,The Other Woman,1KuVEZR4xuQVNr1KkanAV4
330,Mt. Joy,Silver Lining,0i5QVxsK3IvEDbUjTA64Li
331,Social House,Magic In The Hamptons (feat. Lil Yachty),2Yer0p7uB2lVBUAtANuuQp
332,Playboi Carti,Foreign,500l6Cwe40hkPqS7Sf7ufY
333,Bad Bunny,Diles,6C1RD7YQVvt3YQj0CmuTeu
334,Watchhouse,Daylight,11TmWrHkxwtVcCtEdAXjJA
335,Lil Skies,Lust,7oJrVhiTPZGBXWPwhxjy9S
336,$uicideboy$,CLYDE (I Hope at Least One of My Ex-Girlfriends Hears This),59aL2q2UPYJkgLTSv0WTlB
337,Frank Sinatra,Mistletoe And Holly,53cumdNGYE6NFmGL0zHvx7
338,AURORA,Runaway,23rdcrD0Eky4vYn2TZidxJ
339,Taylor Swift,Gorgeous,1ZY1PqizIl78geGM4xWlEA
340,blackbear,idfc,3SErMoIKdRELto2OspGs5L
341,21 Savage,X (feat. Future),6fwdbPMwP1zVStm8FybmkO
342,Yoke Lore,Beige,7uYQELhe7g6QLIzZDOlhbW
343,Eminem,Rap God,6or1bKJiZ06IlK0vFvY75k
